UNITID,XBAREVCT,BAREVCT,XBAEXCLU,BAEXCLU,XBAAC150,BAAC150,XBANC100,BANC100,XBAGR100,BAGR100,XBANC150,BANC150,XBAGR150,BAGR150,XBAAEXCL,BAAEXCL,XBAAC200,BAAC200,XBANC20A,BANC200A,XBASTEND,BASTEND,XBANC200,BANC200,XBAGR200,BAGR200,XL4REVCT,L4REVCT,XL4EXCLU,L4EXCLU,XL4AC150,L4AC150,XL4NC100,L4NC100,XL4GR100,L4GR100,XL4NC150,L4NC150,XL4GR150,L4GR150,XL4AEXCL,L4AEXCL,XL4AC200,L4AC200,XL4NC20A,L4NC200A,XL4STEND,L4STEND,XL4NC200,L4NC200,XL4GR200,L4GR200 
110574,"R",1192,"R",0,"R",1192,"R",168,"R",14,"R",575,"R",48,"R",0,"R",1192,"R",72,"R",19,"R",647,"R",54,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110583,"R",3913,"R",0,"R",3913,"R",585,"R",15,"R",2686,"R",69,"R",0,"R",3913,"R",246,"R",35,"R",2932,"R",75,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110592,"R",2013,"R",0,"R",2013,"R",127,"R",6,"R",920,"R",46,"R",0,"R",2013,"R",184,"R",73,"R",1104,"R",55,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110608,"R",5066,"R",0,"R",5066,"R",527,"R",10,"R",2536,"R",50,"R",0,"R",5066,"R",328,"R",82,"R",2864,"R",57,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110617,"R",2625,"R",0,"R",2625,"R",238,"R",9,"R",1283,"R",49,"R",0,"R",2625,"R",230,"R",60,"R",1513,"R",58,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110635,"R",4081,"R",0,"R",4081,"R",3109,"R",76,"R",3743,"R",92,"R",0,"R",4081,"R",70,"R",6,"R",3813,"R",93,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110644,"R",4496,"R",7,"R",4489,"R",2465,"R",55,"R",3801,"R",85,"R",0,"R",4489,"R",90,"R",18,"R",3891,"R",87,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110653,"R",4405,"R",1,"R",4404,"R",3141,"R",71,"R",3842,"R",87,"R",0,"R",4404,"R",43,"R",8,"R",3885,"R",88,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110662,"R",4636,"R",3,"R",4633,"R",3424,"R",74,"R",4222,"R",91,"R",0,"R",4633,"R",52,"R",12,"R",4274,"R",92,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110671,"R",4458,"R",2,"R",4456,"R",2082,"R",47,"R",3249,"R",73,"R",0,"R",4456,"R",59,"R",12,"R",3308,"R",74,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110680,"R",3947,"R",0,"R",3947,"R",2324,"R",59,"R",3442,"R",87,"R",0,"R",3947,"R",72,"R",433,"R",3514,"R",89,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110705,"R",3696,"R",0,"R",3696,"R",2553,"R",69,"R",3042,"R",82,"Z",0,"R",3696,"R",41,"R",11,"R",3083,"R",83,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110714,"R",3281,"R",7,"R",3274,"R",1693,"R",52,"R",2519,"R",77,"R",0,"R",3274,"R",65,"R",6,"R",2584,"R",79,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110875,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",27,"R",0,"R",27,"R",3,"R",11,"R",18,"R",67,"Z",0,"R",27,"R",0,"Z",0,"R",18,"R",67
110918,"R",3,"R",0,"R",3,"Z",0,"R",0,"Z",0,"R",0,"Z",0,"R",3,"R",0,"Z",0,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
111054,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",64,"R",0,"R",64,"R",1,"R",2,"R",46,"R",72,"Z",0,"R",64,"R",0,"Z",0,"R",46,"R",72
111081,"R",151,"R",0,"R",151,"R",89,"R",59,"R",100,"R",66,"R",0,"R",151,"R",0,"R",0,"R",100,"R",66,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
111188,"R",161,"R",0,"R",161,"R",73,"R",45,"R",100,"R",62,"R",0,"R",161,"R",2,"R",1,"R",102,"R",63,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
111434,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",243,"R",0,"R",243,"R",27,"R",11,"R",64,"R",26,"R",0,"R",243,"R",12,"R",17,"R",76,"R",31
