UNITID,XUGPO9_N,UGPO9_N,XUGPO9_T,UGPO9_T,XUGPO9_A,UGPO9_A,XGPO9_N,GPO9_N,XGPO9_T,GPO9_T,XGPO9_A,GPO9_A,XPO9_N,PO9_N,XPO9_T,PO9_T,XPO9_A,PO9_A,XUGDOD_N,UGDOD_N,XUGDOD_T,UGDOD_T,XUGDOD_A,UGDOD_A,XGDOD_N,GDOD_N,XGDOD_T,GDOD_T,XGDOD_A,GDOD_A,XDOD_N,DOD_N,XDOD_T,DOD_T,XDOD_A,DOD_A   
148496,"R",11,"R",206658,"R",18787,"R",4,"R",66883,"R",16721,"R",15,"R",273541,"R",18236,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",
148511,"R",1,"R",13594,"R",13594,"R",28,"R",314833,"R",11244,"R",29,"R",328427,"R",11325,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",
148575,"R",4,"R",72535,"R",18134,"R",1,"R",8453,"R",8453,"R",5,"R",80988,"R",16198,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",
148584,"R",13,"R",221491,"R",17038,"R",20,"R",243378,"R",12169,"R",33,"R",464869,"R",14087,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",
148593,"R",122,"R",2031952,"R",16655,"R",9,"R",182538,"R",20282,"R",131,"R",2214490,"R",16905,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",
148627,"R",53,"R",772183,"R",14569,"R",12,"R",136399,"R",11367,"R",65,"R",908582,"R",13978,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",
148654,"R",90,"R",568680,"R",6319,"R",43,"R",223363,"R",5194,"R",133,"R",792043,"R",5955,"R",14,"R",34753,"R",2482,"R",14,"R",37610,"R",2686,"R",28,"R",72363,"R",2584
148672,"R",26,"R",59559,"R",2291,"A",,"A",,"A",,"R",26,"R",59559,"R",2291,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
148821,"R",6,"R",17313,"R",2886,"A",,"A",,"A",,"R",6,"R",17313,"R",2886,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
148876,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
