UNITID,XSANIN01,SANIN01,XSANIT01,SANIT01,XSANIN02,SANIN02,XSANIT02,SANIT02,XSANIN03,SANIN03,XSANIT03,SANIT03,XSANIN04,SANIN04,XSANIT04,SANIT04,XSANIN05,SANIN05,XSANIT05,SANIT05,XSANIN06,SANIN06,XSANIT06,SANIT06,XSANIN07,SANIN07,XSANIT07,SANIT07,XSANIN08,SANIN08,XSANIT08,SANIT08,XSANIN09,SANIN09,XSANIT09,SANIT09,XSANIN10,SANIN10,XSANIT10,SANIT10,XSANIN11,SANIN11,XSANIT11,SANIT11,XSANIN12,SANIN12,XSANIT12,SANIT12,XSANIN13,SANIN13,XSANIT13,SANIT13,XSANIN14,SANIN14,XSANIT14,SANIT14 
486053,"R",12,"R",671599,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",4,"R",288398,"R",1,"R",58112,"Z",0,"Z",0,"R",5,"R",225958,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",63771,"R",1,"R",35360,"Z",0,"Z",0,"Z",0,"Z",0
486123,"R",3,"R",158662,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",65000,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",49982,"R",1,"R",43680,"Z",0,"Z",0,"Z",0,"Z",0
486196,"R",6,"R",210300,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",52000,"R",1,"R",30000,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",4,"R",128300,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0
486239,"R",30,"R",1325332,"Z",0,"Z",0,"Z",0,"Z",0,"R",8,"R",342732,"R",3,"R",232000,"R",3,"R",122160,"R",1,"R",41600,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",6,"R",308800,"R",6,"R",208360,"R",3,"R",69680,"Z",0,"Z",0
486257,"R",9,"R",345834,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",5,"R",239000,"R",1,"R",29994,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",76840,"Z",0,"Z",0,"Z",0,"Z",0
486284,"R",66,"R",3328812,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",146733,"R",31,"R",1941718,"R",3,"R",150462,"R",1,"R",48960,"R",7,"R",284748,"Z",0,"Z",0,"R",6,"R",176800,"R",2,"R",60320,"R",11,"R",381791,"R",3,"R",137280,"Z",0,"Z",0
486354,"R",8,"R",250000,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",45000,"R",3,"R",120000,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",4,"R",85000,"Z",0,"Z",0,"Z",0,"Z",0
486372,"R",3,"R",142000,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",37000,"R",1,"R",45000,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",60000,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0
486424,"R",6,"R",297000,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",102000,"R",2,"R",160000,"Z",0,"Z",0,"R",1,"R",35000,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0
486433,"R",21,"R",1726167,"Z",0,"Z",0,"Z",0,"Z",0,"R",4,"R",294600,"R",4,"R",448000,"R",2,"R",220000,"R",1,"R",95067,"R",1,"R",85000,"Z",0,"Z",0,"Z",0,"Z",0,"R",7,"R",475500,"R",2,"R",108000,"Z",0,"Z",0,"Z",0,"Z",0
486460,"R",2,"R",120249,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",83698,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",36551,"Z",0,"Z",0,"Z",0,"Z",0
486488,"R",7,"R",414503,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",136168,"R",3,"R",178609,"R",1,"R",52911,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",46815,"Z",0,"Z",0,"Z",0,"Z",0
486594,"R",5,"R",218000,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",36000,"R",2,"R",95000,"R",1,"R",45000,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",42000,"Z",0,"Z",0,"Z",0,"Z",0
